Number, FamilySize, DIRECTLY_OWNED_LAND, RESIDENCE_LAND, SILVER, OBLIGATION, LABOR, AGRI_PRODUCE, TOWN_PRODUCT
0, 200, 436.2287725593011, 260.4511681609081, 4.108822432487592E7, 4530153.263769243, 0.0, 3819.4795686266552, 1408.666666666027
1, 7, 0.0, 9.98357755801893, 149550.0681971332, -29119.999569092666, 549.433947536083, 0.0, 7.920000000000342
2, 7, 0.0, 8.10878033022138, 101738.7511777085, -29119.999565060043, 549.4339472950427, 0.0, 7.920000000000342
3, 4, 0.0, 10.624215108730246, 94795.39401967691, -16639.99975580325, 313.9622558199451, 0.0, 10.239999999999084
5, 6, 0.0, 9.622019619081415, 120283.27703876526, -24959.99963019983, 470.9433837372939, 0.0, 8.693333333332795
6, 2, 0.0, 5.416269310901322, 9504.802532163118, -8319.999875166179, 156.98112780577216, 0.0, 11.786666666667202
7, 8, 0.0, 7.622049179717367, 102311.87164052663, -33279.999501475504, 627.9245113493924, 0.0, 5.866666666666692
8, 8, 0.0, 6.340693649748864, 65025.17129431272, -33279.99950153122, 627.9245108522376, 0.0, 5.866666666666692
9, 3, 0.0, 8.413709477119468, 46941.853524318, -12479.999814549863, 235.4716916497096, 0.0, 11.013333333333064
10, 6, 0.0, 8.450250160533706, 94663.0125877728, -24959.999626785357, 470.94338362945854, 0.0, 8.693333333332795
11, 3, 0.0, 11.474846374727475, 80399.8091804931, -12479.999816920958, 235.47169177476476, 0.0, 11.013333333333064
12, 8, 0.0, 7.647286665237465, 103044.45623018646, -33279.99950718258, 627.9245115086545, 0.0, 11.466666666666688
14, 9, 0.0, 6.733702720225315, 86619.26092071655, -37439.99943895616, 706.415075093385, 0.0, 11.339999999999844
15, 15, 0.0, 5.0, 53938.94796111459, -62399.99905769549, 1177.3584585534818, 0.0, 3.9666666666666632
16, 10, 0.0, 5.0, 33999.937359743126, -41599.99937932505, 784.9056391522467, 0.0, 9.133333333333319
17, 2, 0.0, 7.065539913624787, 21481.269359827755, -8319.999875264442, 156.98112785236927, 0.0, 11.786666666667202
18, 2, 0.0, 14.592532181918033, 76337.80751650699, -8319.9998754166, 156.98112783223138, 0.0, 11.786666666667202
19, 2, 0.0, 12.350250175981941, 59985.39397083234, -8319.99987519352, 156.9811278323598, 0.0, 11.786666666667202
20, 2, 0.0, 9.602534690170586, 39959.72691271586, -8319.999874895297, 156.98112782247662, 0.0, 11.786666666667202
21, 4, 0.0, 9.747398963953986, 82017.07388083797, -16639.999753624317, 313.9622557403606, 0.0, 10.239999999999094
22, 11, 0.0, 10.04351100888244, 239637.43440254536, -45759.99931422591, 863.3962031183208, 0.0, 7.53999999999999
25, 2, 0.0, 7.378007031295537, 23754.29674428637, -8319.999874788791, 156.98112780430841, 0.0, 11.786666666667198
26, 2, 0.0, 8.836169303292506, 34374.49512293765, -8319.999875983529, 156.98112783163342, 0.0, 11.786666666667198
27, 4, 0.0, 5.0, 12987.857201277619, -16639.999756344587, 313.9622557911731, 0.0, 10.239999999999094
29, 2, 0.0, 5.728789372824229, 11767.810935216545, -8319.999874288562, 156.98112778362585, 0.0, 11.786666666667198
30, 12, 0.0, 7.13350478824062, 134782.84731279063, -49919.99924556176, 941.8867665357593, 0.0, 4.826666666666641
31, 17, 0.0, 5.793517459897011, 111090.10048448497, -70719.99893781815, 1334.339586721927, 0.0, 2.1133333333333315
32, 8, 0.0, 11.410729488278447, 212780.08733644712, -33279.99950750733, 627.9245113766838, 0.0, 6.720000000000017
33, 10, 0.0, 11.609088913503706, 274486.25639348855, -41599.99938537141, 784.9056393677764, 0.0, 6.466666666666661
34, 14, 0.0, 6.272375193817504, 114609.09140869993, -58239.99912754437, 1098.8678944560463, 0.0, 8.14666666666666
35, 6, 0.0, 9.392858688118833, 115269.34250640862, -24959.999622186704, 470.9433833260141, 0.0, 8.693333333332795
36, 4, 0.0, 7.920864164124841, 55405.63559728548, -16639.99975484035, 313.96225573304287, 0.0, 10.239999999999094
37, 8, 0.0, 8.364838466263926, 123983.50356129427, -33279.99950688153, 627.924511518588, 0.0, 7.09333333333335
38, 3, 0.0, 13.17904315253796, 99039.98695811855, -12479.999812457525, 235.47169163131892, 0.0, 11.013333333333064
39, 19, 0.0, 5.0, 70719.93198593613, -79039.99883733112, 1491.3207148362928, 0.0, 0.793333333333333
40, 8, 0.0, 7.8901681498873355, 110160.22712209655, -33279.999502998995, 627.9245114029355, 0.0, 8.586666666666682
41, 2, 0.0, 12.434944983493871, 60604.493630292105, -8319.999876866077, 156.98112784927233, 0.0, 11.786666666667191
43, 2, 0.0, 8.561960618772012, 32375.389803211514, -8319.999876515418, 156.98112786459882, 0.0, 11.786666666667191
46, 6, 0.0, 13.489637515815676, 204860.00154662912, -24959.99962417127, 470.943383532512, 0.0, 8.693333333332795
47, 11, 0.0, 7.732823869956881, 147273.31164063473, -45759.999332496176, 863.3962034841007, 0.0, 7.53999999999999
48, 6, 0.0, 6.7307239827845855, 57113.29144968938, -24959.999627007062, 470.9433834566885, 0.0, 8.693333333332795
49, 11, 0.0, 7.805566569971278, 150207.83174070774, -45759.99932307684, 863.3962030378449, 0.0, 7.53999999999999
50, 2, 0.0, 6.127712277686179, 14664.213591414815, -8319.999874473371, 156.98112782058493, 0.0, 11.786666666667191
51, 2, 0.0, 8.407807073115485, 31252.95487891526, -8319.999875440502, 156.98112778071263, 0.0, 11.786666666667191
52, 2, 0.0, 12.640363788767083, 62098.944677571446, -8319.999876398431, 156.98112784975407, 0.0, 11.786666666667191
54, 4, 0.0, 9.383032150043144, 76706.84604577444, -16639.999756452533, 313.9622557956356, 0.0, 10.239999999999094
55, 6, 0.0, 8.600089778062445, 97939.52634841557, -24959.999630577746, 470.943383651924, 0.0, 8.693333333332795
57, 18, 0.0, 5.0, 66860.85666762493, -74879.99888947255, 1412.8301508074182, 0.0, 0.0
59, 8, 0.0, 7.068599756210405, 86257.92498403644, -33279.999508416324, 627.9245114111657, 0.0, 4.586666666666677
60, 5, 0.0, 6.1397074210421625, 36861.14161946851, -20799.999693041416, 392.4528197087621, 0.0, 9.466666666666965
61, 3, 0.0, 7.715108583658568, 39309.04358691675, -12479.999817599775, 235.47169187006747, 0.0, 11.013333333333064
62, 6, 0.0, 5.541091612227849, 31206.59155913893, -24959.999626736862, 470.9433832916952, 0.0, 8.693333333332795
63, 10, 0.0, 9.4556663263406, 196218.30536765058, -41599.99937502878, 784.9056389812788, 0.0, 5.399999999999997
64, 4, 0.0, 7.637122808526232, 51272.46662335256, -16639.99975223438, 313.96225570194844, 0.0, 10.239999999999094
67, 2, 0.0, 5.333388081182519, 8906.458418842318, -8319.999874971843, 156.98112780400194, 0.0, 11.786666666667186
68, 2, 0.0, 9.524689657069738, 39392.010713839685, -8319.999876823815, 156.98112787667355, 0.0, 11.786666666667186
69, 2, 0.0, 9.277709230268016, 37592.32707826086, -8319.99987390944, 156.98112776844832, 0.0, 11.786666666667186
70, 2, 0.0, 6.958235224143297, 20699.895092556817, -8319.999874900806, 156.98112775843953, 0.0, 11.786666666667186
71, 7, 0.0, 8.37039399332721, 108414.0933361799, -29119.99955874394, 549.4339471772356, 0.0, 7.920000000000328
73, 2, 0.0, 10.176867823323525, 44142.13434643932, -8319.999873906194, 156.9811277135045, 0.0, 11.786666666667186
74, 13, 0.0, 5.861068806746806, 87007.53835117615, -54079.999189266404, 1020.3773305523349, 0.0, 0.0
75, 7, 0.0, 6.46899106377135, 59972.10745073095, -29119.999560909935, 549.4339471682127, 0.0, 7.920000000000328
76, 2, 0.0, 8.00572642774907, 28325.177679374636, -8319.999876484258, 156.98112786585196, 0.0, 11.786666666667186
77, 9, 0.0, 8.039341842911051, 129604.45829651812, -37439.999440248794, 706.4150753334358, 0.0, 2.7266666666666066
78, 4, 0.0, 13.831815106951169, 141563.09764140594, -16639.99974974399, 313.9622557539332, 0.0, 10.239999999999101
80, 5, 0.0, 7.578391343547521, 63018.67535924477, -20799.99968823085, 392.4528195087541, 0.0, 9.466666666666965
81, 9, 0.0, 8.333586539080134, 139269.85809457165, -37439.99943027983, 706.4150747539234, 0.0, 2.7266666666666066
82, 5, 0.0, 13.16282414927777, 164759.27618019766, -20799.999687655523, 392.45281964979887, 0.0, 9.466666666666965
83, 11, 0.0, 5.0, 38442.254810682214, -45759.9993140221, 863.3962029804615, 0.0, 0.0
84, 5, 0.0, 8.081621315531319, 72183.72872794997, -20799.999687663185, 392.45281952703687, 0.0, 9.466666666666965
85, 6, 0.0, 9.336408665737283, 114034.56959887249, -24959.999628769405, 470.94338371252087, 0.0, 8.693333333332795
86, 3, 0.0, 8.240301273276398, 45045.097900595654, -12479.99981825915, 235.47169191501533, 0.0, 11.013333333333064
87, 8, 0.0, 5.8891955714693776, 52056.139177403784, -33279.99950513677, 627.9245111618573, 0.0, 9.440000000000007
88, 8, 0.0, 13.8323134435003, 283535.54680802295, -33279.9995042192, 627.9245112532265, 0.0, 5.386666666666672
89, 2, 0.0, 11.330590224933623, 52556.24204724813, -8319.999875007627, 156.98112778392348, 0.0, 11.786666666667172
90, 15, 0.0, 5.0, 54941.72909238717, -62399.99908168362, 1177.358458827233, 0.0, 0.0
91, 2, 0.0, 9.14856707160548, 36649.49600784585, -8319.999875217494, 156.98112780796077, 0.0, 11.786666666667172
92, 2, 0.0, 9.86706036233422, 41885.35949655002, -8319.999875174144, 156.9811278112851, 0.0, 11.786666666667161
93, 6, 0.0, 5.1497741760560665, 22717.7565083599, -24959.999625929566, 470.94338336779356, 0.0, 8.693333333332795
94, 10, 0.0, 9.34107862316707, 192406.28962008687, -41599.999375694715, 784.9056390392989, 0.0, 0.33333333333333126
95, 2, 0.0, 13.208089279249279, 66243.20602627458, -8319.999874670104, 156.98112780253484, 0.0, 11.78666666666715
96, 21, 0.0, 5.717659779503502, 134326.2721992195, -87359.99870462497, 1648.301842579225, 0.0, 0.0
97, 2, 0.0, 11.940856069521733, 56999.76198183835, -8319.999874824884, 156.98112788953625, 0.0, 11.786666666667143
98, 5, 0.0, 10.335130987063788, 113228.95529704302, -20799.999688492502, 392.45281957776564, 0.0, 9.500000000000238
99, 2, 0.0, 10.426886514966064, 45967.43554683386, -8319.999873076826, 156.98112774889552, 0.0, 11.786666666667111
100, 3, 0.0, 10.710875645353562, 72046.97761782672, -12479.999814512694, 235.47169182855455, 0.0, 11.013333333333064
103, 7, 0.0, 8.079588474310825, 101494.43175095342, -29119.999570919463, 549.4339474292781, 0.0, 5.033333333333415
104, 6, 0.0, 7.317256939597204, 69996.09287578726, -24959.99963894864, 470.94338399156874, 0.0, 8.253333333333124
105, 4, 0.0, 5.024919653030342, 13347.53266895351, -16639.999749713847, 313.9622555386098, 0.0, 10.239999999999183
106, 18, 0.0, 6.141626456128043, 142676.33859274496, -74879.99890161412, 1412.8301508726017, 0.0, 0.0
107, 14, 0.0, 6.972769307526939, 152064.63981063676, -58239.99911626275, 1098.8678941954008, 0.0, 0.0
109, 6, 0.0, 5.976367094993045, 40873.94694899846, -24959.99962102152, 470.94338316920175, 0.0, 7.773333333333179
111, 19, 0.0, 5.0, 72677.66431579331, -79039.99883688432, 1491.320714716452, 0.0, 0.0
112, 6, 0.0, 14.536394603910875, 228119.31883786933, -24959.999624623528, 470.9433835045858, 0.0, 8.573333333333155
113, 6, 0.0, 11.315742016821982, 157718.68423663967, -24959.99962909847, 470.9433835362483, 0.0, 8.573333333333155
114, 4, 0.0, 10.614839549419695, 94663.05164345044, -16639.999751107494, 313.9622555161579, 0.0, 10.239999999999222
115, 2, 0.0, 7.260448171151538, 22897.295268874055, -8319.999878267186, 156.9811279220455, 0.0, 11.78666666666698
116, 2, 0.0, 9.764691649114484, 41136.74092424608, -8319.999875880096, 156.98112782667496, 0.0, 11.786666666666965
117, 7, 0.0, 10.882857037250588, 173581.11279266732, -29119.999572162353, 549.4339474918556, 0.0, 5.7800000000000455
119, 11, 0.0, 7.164890443761264, 126798.73822286965, -45759.999312732616, 863.3962027948876, 0.0, 0.0
120, 9, 0.0, 8.67485297702517, 152657.6940424699, -37439.999446049296, 706.4150752753418, 0.0, 0.7266666666666657
121, 6, 0.0, 13.495729954708839, 206216.45533543127, -24959.999628309823, 470.9433837344983, 0.0, 7.50666666666652
122, 2, 0.0, 9.737726645114952, 40943.43014897473, -8319.999876855743, 156.9811278987298, 0.0, 11.78666666666687
123, 2, 0.0, 7.884178840275033, 27440.761416920435, -8319.999875580786, 156.98112782086463, 0.0, 11.786666666666834
125, 5, 0.0, 11.201062974019473, 130222.94006276102, -20799.999686447252, 392.4528194656532, 0.0, 8.700000000000111
126, 9, 0.0, 8.147328840455069, 136528.12442434736, -37439.999431318975, 706.4150748141195, 0.0, 0.7266666666666657
127, 7, 0.0, 12.672087279542342, 221134.9483711301, -29119.999566805298, 549.4339473755438, 0.0, 5.593333333333328
129, 4, 0.0, 10.30690906364807, 91535.3385341904, -16639.999751654417, 313.96225576967856, 0.0, 9.03999999999975
131, 13, 0.0, 7.28223035864073, 158676.8831700739, -54079.99917788264, 1020.3773304139748, 0.0, 0.0
132, 2, 0.0, 9.055042279374716, 36648.13021268851, -8319.99987504815, 156.981127826589, 0.0, 13.40000000000016
66, 26, 13.214129655094666, 0.0, 456487.24259777716, -108107.124319143, 2040.7547169811328, 62.074655219709825, 61.28000000000024
28, 26, 10.552766215584189, 0.0, 257127.1642950432, -108133.55423104108, 2040.7547169811328, 37.93603302956694, 58.720000000000226
72, 19, 11.204465840820152, 0.0, 163770.08183413077, -79037.58368785313, 1491.3207547169804, 32.04201090636684, 59.09333333333298
102, 20, 9.79193610229957, 0.0, 120096.16285343897, -83198.73312424427, 1569.8113207547171, 23.87329842442969, 62.93333333333334
108, 19, 10.759720298838023, 0.0, 148442.02748852642, -79038.77835340737, 1491.3207547169804, 29.09419642936325, 76.45333333333309
42, 18, 10.53005267587615, 0.0, 120278.34299980052, -74879.42895661437, 1412.8301886792433, 26.120783594935403, 62.55999999999981
56, 17, 10.812189022438506, 0.0, 110023.18028979455, -70719.46059339216, 1334.3396226415093, 26.342809867241186, 64.63999999999922
133, 18, 9.623697606610667, 0.0, 84397.95923241964, -74879.43301022869, 1412.8301886792433, 20.4295578015099, 62.55999999999981
44, 16, 10.495506306887014, 0.0, 84895.55187134995, -66559.87311751282, 1255.8490566037744, 23.02565197370231, 66.13333333333233
45, 16, 10.093204990496918, 0.0, 70602.12915448537, -66559.87083601489, 1255.8490566037744, 20.78018651299584, 66.13333333333233
58, 16, 9.96262595120151, 0.0, 65949.11385427305, -66559.87382601232, 1255.8490566037744, 20.05135289827865, 66.13333333333233
130, 21, 7.367865068558836, 0.0, 28322.932570183686, -87359.83336705151, 1648.3018867924511, 7.308737307278761, 70.13333333333364
13, 14, 11.256450581111359, 0.0, 65713.36133549367, -58239.94475339462, 1098.867924528302, 23.863788833872178, 51.36000000000038
53, 18, 8.380743192367685, 0.0, 43587.09352758799, -74879.92817221313, 1412.8301886792433, 12.624742158867207, 46.986666666666544
101, 13, 14.400930755387748, 0.0, 116699.90077283992, -54079.94824200191, 1020.3773584905664, 36.419483039947124, 52.453333333333376
124, 13, 11.594175494285029, 0.0, 54735.221670072926, -54079.97447582221, 1020.3773584905664, 23.690818509931603, 67.84000000000003
4, 11, 16.313568972075124, 0.0, 76480.22607890992, -45759.98901857856, 863.3962264150941, 38.15588395489789, 72.98666666666624
23, 14, 9.090088128197777, 0.0, 18214.837988493273, -58239.99305986896, 1098.867924528302, 13.283583445386881, 65.17333333333352
110, 13, 10.54131836506129, 0.0, 35455.393484000175, -54079.99356455723, 1020.3773584905664, 18.916100392663708, 65.28000000000002
118, 15, 8.366686586267615, 0.0, 16244.95714398252, -62399.99261583123, 1177.3584905660373, 10.447064401098459, 65.066666666667
24, 11, 12.527147117673138, 0.0, 23479.279395795063, -45759.998646615866, 863.3962264150941, 23.626184662867445, 50.50666666666656
65, 10, 14.256043683048095, 0.0, 12736.845764653659, -41599.99875400099, 784.9056603773586, 27.509552806269852, 61.06666666666652
79, 11, 10.953859074410392, 0.0, 2778.0287491225754, -45759.99933326592, 863.3962035605282, 0.0, 0.0
128, 13, 8.361996476316662, 0.0, 194.79641365853604, -54079.99919620028, 1020.3773311087779, 0.0, 0.0

